,z1,z2,A,r1,r2,r,r0,h,L,Q_theor,eps_theor,etha_theor
0,6,6,291.50965098502706,145.75482549251353,145.75482549251353,53.5207097294952,14.090017219763357,179.89397244299363,179.4825870499648,0.2338131960474777,2.624660319366836,0.74078538989545
1,5,7,191.63281120418327,79.8470046684097,111.78580653577357,27.225863394449735,7.761183594180816,280.58116306460636,181.83860255546355,0.07447342446990499,2.6372764977008534,0.7913296435145531
2,5,5,189.63654663827307,94.81827331913654,94.81827331913654,51.24963819566431,3.3941761931649475,141.62717050671606,123.97181016697611,0.08942757725967172,2.240956848579295,0.7589271987602086
3,4,5,95.32130283676571,42.36502348300698,52.95627935375873,13.720876395600829,2.813237960529206,89.25452618021646,60.55324228574892,0.0034852772892621274,1.417988724591382,0.7900292344857505
4,5,6,194.58812665476796,88.44914847943998,106.13897817532798,29.604886641353257,3.0726307679701863,179.63068612304323,172.9514654171389,0.057147369505039326,2.588433428247013,0.7436649313987443
5,5,8,162.67772077181075,62.568354143004136,100.10936662880661,27.902271512366482,2.7650638559039327,372.153821560957,242.1871567008995,0.09630048183201292,2.8965505298499767,0.7820447036972268
6,5,5,292.1353344292367,146.06766721461835,146.06766721461835,58.5116355541486,7.577528956863074,164.58898693171741,146.60473889519997,0.15715206506375612,2.4206113924056476,0.7580651671429511
7,5,7,345.76753750857307,144.06980729523877,201.69773021333427,45.454154218368856,4.321620684293685,571.5162751063569,405.0397719004022,0.384158239702303,3.2708937457111005,0.7783084559266547
8,5,8,109.55721829800258,42.13739165307792,67.41982664492467,18.860999923383616,1.5451948568093892,128.38626894264075,97.2519782548301,0.015878747908621284,1.968093002205125,0.7759001518067894
9,4,4,201.6644942649065,100.83224713245325,100.83224713245325,47.28735507264594,6.8778828707399375,210.8461667755837,135.64865615328378,0.0760832774278439,2.3384655454658416,0.794151267366382
10,4,6,331.5068457436001,132.60273829744003,198.90410744616005,62.10860039962694,6.352333688302172,316.09343618095613,292.1818668191955,0.4347936068286243,3.0467938870948004,0.7505054026983369
11,5,7,133.84286244423276,55.767859351763654,78.07500309246912,30.425202847397777,1.1721137517808435,266.0759991688502,172.98406304988654,0.06316384069993139,2.5886189793995316,0.7842116034858148
12,5,4,339.2337639117461,188.4632021731923,150.77056173855382,85.15347879257662,14.473112335219467,319.0546865616216,219.38489909019526,0.4214576490818101,2.8110803200786294,0.7870058546371331
13,7,6,254.79993751844586,137.19996635608624,117.59997116235962,43.06166379211386,9.253103021998818,306.62700403552947,233.0611839650013,0.1883781789779848,2.8638620565719726,0.7720765394759664
14,5,6,197.930508583074,89.96841299230636,107.96209559076762,47.90805218160476,5.379254093671646,196.81570280751993,146.57121773685336,0.1225511703201257,2.420372449206496,0.778635476241654
15,5,5,328.52466301187854,164.26233150593927,164.26233150593927,58.39619891117655,14.891501709341378,437.7896603422094,312.0608196704702,0.41255328284863374,3.0957493442555686,0.7798621105150572
16,5,7,333.7085116727044,139.04521319696016,194.66329847574423,69.89529470099114,2.9360686478247113,489.0918178989004,442.49539391929113,0.903382176213633,3.3236654777750823,0.7472560494015449
17,5,5,153.48849162446263,76.74424581223131,76.74424581223131,36.672946765573265,6.2139816623812,139.1904875744483,112.59073011685709,0.047920135384991805,2.134236165177393,0.7684865401721069
18,8,6,326.2769319502697,186.44396111443984,139.83297083582988,58.77312359603669,8.022839608732601,292.8370613113157,250.36478352294318,0.3393892027064895,2.924284318018949,0.7591887925130316
19,4,8,171.67774870684178,57.22591623561393,114.45183247122786,28.80333822657369,5.575890202420324,324.89034274941343,217.7450269416543,0.10358344790183519,2.804420339240274,0.7853700024200879
20,6,5,326.66862885188146,178.1828884646626,148.48574038721884,71.35671513023942,4.762335130374453,260.8461216929255,182.2695949115511,0.26762820993985337,2.63955940801971,0.7862823486428667
21,7,5,295.44410634701967,172.34239536909482,123.10171097792487,58.87417816565387,9.31237221843075,352.7334120657866,290.94968241038237,0.33845748756335076,3.0435843592084235,0.7592702652325052
22,6,5,343.5710182955053,187.40237361573017,156.16864467977516,66.86618620207867,6.0844995105895405,500.20716421969746,327.11145239396853,0.45506287527805367,3.1295945491821326,0.7855787595090761
23,4,7,248.96957389542638,90.53439050742777,158.4351833879986,31.558701299705348,8.895378778554646,318.1406956311439,303.1493374251754,0.17196349230769745,3.07443973753027,0.7436197080807981
