,z1,z2,A,r1,r2,r,r0,h,L,phi01,phi02
0,6,4,197.6777116520321,118.60662699121926,79.07108466081283,48.36017094217546,11.406680159301638,111.50617408758049,110.27513528985392,1.0471975511965976,1.5707963267948966
1,5,5,600.8881723651825,300.44408618259126,300.44408618259126,159.77659167694173,14.943390937938208,1381.6169819023428,892.6948861632007,1.2566370614359172,1.2566370614359172
2,6,6,219.5119234327207,109.75596171636035,109.75596171636035,42.55064302829027,2.671270151847308,392.1452004517939,276.9593338492357,1.0471975511965976,1.0471975511965976
3,5,8,566.3809199365107,217.8388153601964,348.5421045763143,109.92415690818076,16.45908441374596,2574.2831770494004,1631.263721728315,1.2566370614359172,0.7853981633974483
4,5,4,185.4452198898932,103.02512216105178,82.42009772884143,35.454896081175946,7.2371888375924405,191.20435508101946,142.3552673471994,1.2566370614359172,1.5707963267948966
5,7,5,523.6703207829953,305.4743537900806,218.1959669929147,96.83851228324463,5.118640259780478,1263.984775752961,879.7761919608131,0.8975979010256552,1.2566370614359172
6,7,5,229.78768152693394,134.0428142240448,95.74486730288913,42.08840734942782,2.6123427124951464,576.969318217314,405.76313664700746,0.8975979010256552,1.2566370614359172
7,4,7,214.38505734406624,77.95820267056955,136.42685467349668,34.134677576802986,4.33680477088115,527.7854668018489,347.2558461922025,1.5707963267948966,0.8975979010256552
8,6,8,333.8430289327987,143.0755838283423,190.76744510445639,54.44170266823419,5.312121466463647,262.75969119837606,245.1762347927419,1.0471975511965976,0.7853981633974483
9,4,4,449.75842579114317,224.87921289557158,224.87921289557158,111.73714322593135,19.973407922943622,304.25736040938926,253.78021407752107,1.5707963267948966,1.5707963267948966
10,4,8,589.4772621904117,196.49242073013724,392.9848414602745,118.71760741028278,2.638325400906055,1951.557714842838,1913.9107172900685,1.5707963267948966,0.7853981633974483
11,6,5,119.51382117697969,65.18935700562528,54.32446417135441,31.357426673250924,2.2844915837895723,172.49948568548655,108.74538237680318,1.0471975511965976,1.2566370614359172
12,4,5,512.8839263047321,227.94841169099203,284.93551461374005,138.59836694275276,20.889291691386287,765.6604134160873,650.9120177043418,1.5707963267948966,1.2566370614359172
13,6,5,226.7654807585453,123.69026223193379,103.0752185266115,50.343043507261484,2.371547638390506,413.54531948075885,268.16331956273484,1.0471975511965976,1.2566370614359172
14,4,5,274.72973574329257,122.1021047747967,152.62763096849588,76.89236322279973,9.105580312307016,291.97464574231776,279.0498892127994,1.5707963267948966,1.2566370614359172
15,7,5,527.4471319303207,307.6774936260204,219.7696383043003,100.83556893046091,14.727058703955619,955.2042101174598,630.7073297413283,0.8975979010256552,1.2566370614359172
16,5,5,273.4328635864887,136.71643179324434,136.71643179324434,58.68178024990679,5.299057683910536,528.6649091353546,489.2770371487863,1.2566370614359172,1.2566370614359172
