,z1,z2,A,h,L,r1_ratio,r2_ratio,r_ratio,r0_ratio,h_log,L_log,r1_r2_ratio,i,windings
0,6,4,197.6777116520321,111.50617408758048,110.27513528985392,0.6,0.39999999999999997,0.24464149517929895,0.05770342070420451,4.723008100917073,4.712005830716537,1.5000000000000002,0.6666666666666666,0.9889599046169438
1,5,5,600.8881723651825,1381.6169819023428,892.6948861632007,0.5,0.5,0.2659007100240266,0.024868838537990965,7.231733346020967,6.795364426275418,1.0,1.0,0.6461232728437174
2,6,6,219.5119234327207,392.1452004517939,276.9593338492357,0.5000000000000001,0.5000000000000001,0.1938420581574095,0.012169134642319505,5.974179010431668,5.627474821872654,1.0,1.0,0.7062673048915259
3,5,8,566.3809199365107,2574.2831770494004,1631.263721728315,0.3846153846153846,0.6153846153846153,0.19408167372676124,0.029060096896609728,7.8537147787210655,7.397723116665388,0.625,1.6,0.6336768760607144
4,5,4,185.4452198898932,191.20435508101943,142.3552673471994,0.5555555555555556,0.4444444444444445,0.19118797509165802,0.03902601987740353,5.258559155389881,4.965325936315625,1.25,0.8,0.7445189587176448
5,7,5,523.6703207829953,1263.984775752961,879.7761919608131,0.5833333333333334,0.41666666666666663,0.18492266687646353,0.009774547184814778,7.142815366111304,6.78080355502591,1.4000000000000001,0.7142857142857143,0.6960338517026258
6,7,5,229.78768152693397,576.969318217314,405.76313664700746,0.5833333333333333,0.4166666666666665,0.18316215677773195,0.011368506332176677,6.3595207845944355,6.008231042189811,1.4000000000000004,0.7142857142857143,0.7032664022771793
7,4,7,214.38505734406624,527.7854668018489,347.2558461922025,0.36363636363636365,0.6363636363636362,0.1592213468591717,0.0202290440602911,6.270582804804751,5.852937399862017,0.5714285714285715,1.75,0.657948859972258
8,6,8,333.8430289327987,262.75969119837606,245.1762347927419,0.4285714285714286,0.5714285714285715,0.16307575102666919,0.0159120335190014,5.575038427995335,5.506047681035745,0.75,1.3333333333333333,0.9330816065225196
9,4,4,449.7584257911432,304.25736040938926,253.78021407752107,0.5,0.5,0.24843813215812738,0.04440919119593945,5.721155225425379,5.540401267925895,1.0,1.0,0.834097205523806
10,4,8,589.4772621904117,1951.557714842838,1913.9107172900683,0.33333333333333337,0.6666666666666667,0.20139471871933692,0.004475703424254944,7.5768954407355285,7.557426277702839,0.5,2.0,0.9807092573965708
11,6,5,119.51382117697968,172.49948568548655,108.74538237680318,0.5454545454545455,0.45454545454545464,0.26237489827068533,0.019114873587772148,5.156174635033739,4.698162977054683,1.2,0.8333333333333334,0.630409893366729
12,4,5,512.8839263047321,765.6604134160873,650.9120177043418,0.4444444444444444,0.5555555555555556,0.270233399477612,0.040729082390807525,6.642043956802069,6.479909610649884,0.7999999999999999,1.25,0.8501314764338128
13,6,5,226.7654807585453,413.5453194807589,268.16331956273484,0.5454545454545455,0.45454545454545453,0.2220048807202081,0.01045815099572265,6.0271823038960495,5.595318331290339,1.2000000000000002,0.8333333333333334,0.6484496545612862
14,4,5,274.72973574329257,291.97464574231776,279.0498892127994,0.4444444444444445,0.5555555555555556,0.27988365735061144,0.033143774144693494,5.680086071970175,5.634967763057832,0.7999999999999999,1.25,0.9557332915100955
15,7,5,527.4471319303207,955.2042101174598,630.7073297413283,0.5833333333333334,0.4166666666666667,0.19117663709996624,0.027921393088362008,6.862971499149744,6.448426201037162,1.4000000000000001,0.7142857142857143,0.6602853327706453
