,z1,z2,A,r1,r2,r,r0,h,L,efficiency,mass_flow
0,6,4,197.6777116520321,118.60662699121926,79.07108466081283,48.36017094217546,11.406680159301638,111.50617408758048,110.27513528985392,0.528751228883094,4.944011474881255
1,5,5,600.8881723651825,300.44408618259126,300.44408618259126,159.7765916769417,14.943390937938208,1381.6169819023428,892.6948861632007,0.7273779672450574,15.541805804653949
2,6,6,219.5119234327207,109.75596171636036,109.75596171636036,42.55064302829027,2.671270151847308,392.1452004517939,276.9593338492357,0.6243932833209417,4.920009766798456
3,5,8,566.3809199365107,217.8388153601964,348.5421045763143,109.92415690818076,16.45908441374596,2574.2831770494004,1631.263721728315,0.8091940624786554,12.482660743085676
4,5,4,185.4452198898932,103.02512216105178,82.42009772884143,35.454896081175946,7.23718883759244,191.20435508101943,142.3552673471994,0.5122307672872938,5.123783596675817
5,7,5,523.6703207829953,305.4743537900806,218.1959669929147,96.83851228324464,5.118640259780478,1263.984775752961,879.7761919608131,0.7820917753157534,11.879483082019942
6,7,5,229.78768152693397,134.0428142240448,95.74486730288912,42.08840734942782,2.6123427124951464,576.969318217314,405.76313664700746,0.6803568916173596,5.190019346798563
7,4,7,214.38505734406624,77.95820267056955,136.42685467349668,34.134677576802986,4.33680477088115,527.7854668018489,347.2558461922025,0.5771736326030473,5.20282657309685
8,6,8,333.8430289327987,143.0755838283423,190.7674451044564,54.44170266823419,5.312121466463647,262.75969119837606,245.1762347927419,0.576296873043529,6.521329054983507
9,4,4,449.7584257911432,224.8792128955716,224.8792128955716,111.73714322593136,19.973407922943625,304.25736040938926,253.78021407752107,0.5645483810837724,13.560559808088678
10,4,8,589.4772621904117,196.49242073013724,392.9848414602745,118.71760741028278,2.638325400906055,1951.557714842838,1913.9107172900683,0.7660545292182983,13.52979818389273
11,6,5,119.51382117697968,65.18935700562528,54.32446417135441,31.357426673250924,2.2844915837895723,172.49948568548655,108.74538237680318,0.490379164396613,2.825333946073344
12,4,5,512.8839263047321,227.94841169099203,284.93551461374005,138.59836694275276,20.889291691386287,765.6604134160873,650.9120177043418,0.6457792029623127,14.2914127576208
13,6,5,226.7654807585453,123.6902622319338,103.0752185266115,50.34304350726149,2.371547638390506,413.5453194807589,268.16331956273484,0.6083467159391847,5.412828125339809
14,4,5,274.72973574329257,122.1021047747967,152.62763096849588,76.89236322279973,9.105580312307016,291.97464574231776,279.0498892127994,0.541884610232598,7.590640603151416
15,7,5,527.4471319303207,307.6774936260204,219.7696383043003,100.83556893046092,14.72705870395562,955.2042101174598,630.7073297413283,0.7466217872459328,11.773353678677557
16,5,5,273.4328635864887,136.71643179324434,136.71643179324434,58.68178024990679,5.299057683910536,528.6649091353546,489.2770371487863,0.5720819942862404,7.023116177438214
17,7,4,228.40096510815977,145.34606870519258,83.05489640296719,48.39662590842053,7.833407546538713,344.1274211532056,261.8326697330889,0.6296714435776883,5.416792958595448
18,4,6,474.2378876064221,189.69515504256884,284.5427325638533,105.64671719002556,15.835991117278562,1306.62190192632,888.2487445539216,0.6922351494768062,12.317863648708045
19,5,4,462.9849713525496,257.2138729736387,205.7710983789109,78.72160434054179,11.633917657328224,607.185579315699,474.7399785324346,0.6794772074867875,12.848655441659606
20,7,6,335.4854487358594,180.64601085777045,154.83943787808897,57.20388398861726,14.343853938841937,956.344434632943,657.9331217265809,0.7363395143533876,7.172539445571512
21,5,4,325.5593903551325,180.86632797507363,144.6930623800589,74.11284742564115,10.810349127878425,589.4954317907401,566.2208492747266,0.6100119421611783,9.121234127529453
22,4,7,89.63455157963509,32.594382392594575,57.04016918704051,16.06320169862664,3.118451925082102,191.62410180160893,162.57825087440287,0.5162515554851712,2.1639618030067194
23,6,8,154.05686366307657,66.02437014131853,88.03249352175804,20.771634721741563,4.250981354001848,390.7340594509604,276.5511864864115,0.5831334847287916,3.102210584963923
24,5,8,523.1474754247802,201.21056747106928,321.9369079537109,106.04560774814269,7.924755089627156,1010.7493586736816,868.1794644144179,0.672375004340367,11.06208520924069
25,5,4,565.767918713495,314.3155103963861,251.45240831710888,102.47916971103363,22.87798232218641,1375.6806569004937,942.86834391934,0.7426302404034154,15.905884584204134
26,4,7,504.6425672061631,183.5063880749684,321.13617913119464,71.77018474644859,7.298853389063747,588.4827177080791,503.3778761676093,0.6109885261969299,11.895861817511912
27,5,7,529.8648430808153,220.77701795033968,309.08782513047555,76.93493567357311,14.753672475376067,1081.5148330187667,680.8694298773534,0.703942415056234,11.879997196017069
28,5,4,236.79728267922343,131.55404593290191,105.24323674632154,67.51326848619551,2.2475032749830848,622.3034534227136,409.6530848014027,0.6673255073349833,6.679927400546947
29,5,7,281.7490645635796,117.39544356815816,164.3536209954214,55.576447881859664,6.91124134545136,308.41690724518213,218.1710171987034,0.5128334794075337,6.187548974321006
30,5,6,592.0484676386665,269.11293983575746,322.935527802909,108.67575133607208,8.937329424035628,1592.9603058809382,1194.2794640733523,0.7471006019306643,14.347457273901043
31,7,4,413.3177921632444,263.0204131947919,150.2973789684525,85.45442619403181,22.04876144912919,999.4925249602954,696.9546828229962,0.7427887436991989,9.96711126507361
32,6,6,142.09690349427217,71.04845174713608,71.04845174713608,28.617278147958263,3.421463024556929,233.5427876636277,227.030859631918,0.550808498541646,3.1805368250208854
33,5,8,319.89927539279324,123.03818284338202,196.86109254941124,57.44534065477898,10.21696011995661,707.1356478414214,484.3644958743466,0.6178428109816211,6.7851200864551116
34,4,5,133.6408307946699,59.39592479763107,74.24490599703884,22.749293275300637,5.215674564302258,303.0854267923423,209.21162862984693,0.5015586793350487,3.747226452519723
35,4,5,370.4685090717471,164.65267069855426,205.81583837319283,78.89421139467602,7.24886537059816,595.3806262699063,474.3917032716061,0.5941371685427882,10.323621584568148
36,5,5,415.76446878205695,207.88223439102848,207.88223439102848,73.51498930856131,10.652534269194774,731.3894201814828,509.6610163224966,0.628008610127683,10.672274828973036
37,6,7,230.14092583571076,106.21888884725112,123.92203698845962,31.872208083916014,5.0277181327155285,177.15503144530982,162.21571244896847,0.5415138029793292,4.759651408716954
38,4,6,449.1398025707737,179.65592102830948,269.48388154246425,115.4912065642024,12.740028426743276,840.7981263299865,575.4679788064333,0.5866024795454055,11.520221411028329
39,5,6,591.5542650018555,268.8883022735707,322.6659627282848,92.25350050842944,22.231846024622,1079.9546397093077,1033.6124824819815,0.6876550841089638,14.170831624616362
40,5,5,421.9469190670852,210.97345953354252,210.97345953354252,116.50963643479793,9.06058259230776,463.4583385545024,424.8030341496767,0.587546698224646,10.746836706270896
41,6,5,531.1359179070352,289.71050067656466,241.4254172304705,97.30385412675066,18.430576704287084,550.9863046609544,375.8023086589332,0.6654362725800704,12.54264193142601
42,6,5,537.0171609289941,292.918451415815,244.0987095131792,119.26605210191414,23.35425643804976,1187.3972782865153,883.9678713175039,0.744371656078752,12.919569950213276
43,4,7,176.50327026570312,64.18300736934658,112.32026289635654,21.63863836697616,2.801906286612982,373.542244226366,363.5237261960781,0.5448506018935717,4.226389518590786
44,5,5,120.816239943896,60.408119971948,60.408119971948,23.30256645919049,1.193913389971703,244.39475527225216,238.06994794609545,0.5329406352529836,3.110632910859846
45,5,6,286.5672913069276,130.2578596849671,156.3094316219605,60.681421530666185,11.858133522191537,545.9752655910083,384.5154025991128,0.609735565444781,6.872061887051633
46,5,7,198.6887303917809,82.78697099657536,115.90175939520552,29.19549716363411,5.943906422817561,293.8812527891022,192.13169238412968,0.5300928660064912,4.366900825547526
47,6,6,523.5182167872097,261.75910839360483,261.75910839360483,84.12663692425313,18.517150686258745,1078.8398183600234,963.4622974437004,0.6853909344518472,11.78341992570582
48,5,6,351.462322425589,159.75560110254045,191.70672132304853,72.27343760991019,4.088689586066055,697.7248690861315,506.0569892964224,0.5863267518044603,8.42152135179873
49,8,7,577.2047224485143,307.84251863920764,269.36220380930666,96.91901547964936,23.13858612751497,1111.6869849772656,808.4059605526588,0.7917326233003462,11.015136573016498
50,7,6,162.5466964326251,87.52514423295199,75.02155219967312,31.2892562701808,2.7867636226739063,477.4770457112434,308.29734961280286,0.673899146545563,3.487198442567206
51,5,8,216.16541373679505,83.14054374492116,133.02486999187386,35.67614719975112,7.461944529530962,679.6420675334298,486.9176657161252,0.6065748303940105,4.6837578867249166
52,5,7,286.2701957165905,119.27924821524604,166.99094750134444,47.70437861919834,4.7927110431496,706.941883474815,531.9508559746291,0.6514547914780823,6.483952318839643
53,5,4,413.1770988350991,229.5428326861662,183.6342661489329,70.97794493647734,11.285468232252144,404.22001653224106,298.2647035537067,0.6391852680474134,11.444776727181834
54,5,6,232.49322696568012,105.6787395298546,126.81448743582554,38.0873305897187,5.576716694129559,428.4662673518679,296.9250249212074,0.575200427704023,5.578850442908917
55,4,5,165.90677568188704,73.73634474750536,92.17043093438168,26.1375637811375,4.350411981174731,209.29043084942563,199.01499512296533,0.43654732046714373,4.581000559587101
56,5,7,181.78112402983209,75.74213501243004,106.03898901740206,33.10803757544522,2.1524654726628185,245.09584516907236,164.41153579526105,0.559867897753231,4.032648481674307
57,7,7,360.3750327479675,180.18751637398373,180.18751637398373,60.89859776935232,5.895290077922649,1021.1497341816282,685.4278962366026,0.7373133889888909,7.342149918958807
